u0,lastpont,LSE
"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.7424242424242424, 0.2636363636363636, 0.9292929292929293, 0.7474747474747475, 8.181818181818182e-5]","[0.15466870549519016, 0.4604935404207217, 0.002280751073450909, 0.03157326708440262, 1.0043590537321285e-19]","[-0.00019487561100729216, -0.19406775191621756, -0.42032631427052286, -0.8758232361857479, -Inf]"
"[0.3474747474747475, 0.5818181818181818, 0.7272727272727273, 0.010101010101010102, 8.08080808080808e-6]","[0.15385232901779228, 0.48777488803830676, 0.0011414563584916828, 0.03733248182206457, 9.266912345119235e-20]","[-0.00025938568967521976, -0.1940011237401151, -0.4203255824728995, -0.8758217276994977, -Inf]"
"[0.647979797979798, 0.21818181818181817, 0.08080808080808081, 0.42424242424242425, 7.07070707070707e-5]","[0.15569702936496585, 0.447237049442434, 0.003233013399650942, 0.029256414620555376, 1.112197944951058e-19]","[-0.0001682964061824679, -0.19410120508221393, -0.4203255208102657, -0.8758187830954088, -Inf]"
"[0.9656565656565657, 0.7545454545454545, 0.6363636363636364, 0.6464646464646465, 7.777777777777778e-5]","[0.16508818110435733, 0.40547941509150437, 0.010589826273577362, 0.024496701180621104, 2.8279673827137225e-19]","[-0.0001239693550657229, -0.19421042476371253, -0.42030581193819566, -0.8757754676563398, -Inf]"
"[0.3904040404040404, 0.21818181818181817, 0.5656565656565656, 0.32323232323232326, 6.464646464646465e-5]","[0.15391284780056882, 0.4821014250676232, 0.0013145166755198822, 0.03602645514287865, 9.321330272442299e-20]","[-0.00024514620187147235, -0.19401472934816885, -0.4203258464558147, -0.8758231062951459, -Inf]"
"[0.30454545454545456, 0.7636363636363637, 0.35353535353535354, 0.9696969696969697, 8.585858585858586e-5]","[0.22944711135311824, 0.36334185166678057, 0.06763181172484906, 0.03761065613153463, 1.692703800302848e-16]","[-0.0003028993639045431, -0.1943136526171208, -0.42017792712559393, -0.8756004013977647, -Inf]"
"[0.7681818181818182, 0.24545454545454545, 0.7474747474747475, 0.5656565656565656, 8.484848484848485e-5]","[0.15449593803038617, 0.4636642603593627, 0.0021008256824689045, 0.0321749216774395, 9.873209837555049e-20]","[-0.00020177989027644736, -0.19405985328920156, -0.4203263424899204, -0.8758237620450527, -Inf]"
"[0.7166666666666667, 0.8181818181818182, 0.47474747474747475, 0.5353535353535354, 3.232323232323232e-5]","[0.20164669403842744, 0.3703432552598458, 0.040788109036658124, 0.0289746883820066, 1.070095679504339e-17]","[-0.00021250279127738253, -0.19430106406020742, -0.42022215523654377, -0.8756695561786523, -Inf]"
"[0.42474747474747476, 0.9272727272727272, 0.7474747474747475, 0.5858585858585859, 5.050505050505051e-6]","[0.18986860754145957, 0.3762073482163446, 0.030469201366911045, 0.026435120430097773, 3.320292326292353e-18]","[-0.00017707284619228404, -0.19428689622734058, -0.4202462833410572, -0.8756990395677366, -Inf]"
"[0.15858585858585858, 0.9636363636363636, 0.2222222222222222, 0.47474747474747475, 1.919191919191919e-5]","[0.7665006679291858, 0.616972083323031, 0.7297545375494097, 0.4604317573760179, 9.999999999971974e-5]","[-5.9121225237285805e-5, -0.19500910448779363, -0.4201727719678395, -0.874543877587255, -Inf]"
"[0.48484848484848486, 0.21818181818181817, 0.6565656565656566, 0.8888888888888888, 0.0001]","[0.15580855379302733, 0.4461346884224523, 0.0033295963272393283, 0.029078605630836658, 1.1245778231893436e-19]","[-0.0001662757775205955, -0.19410401753651518, -0.42032539096406485, -0.8758182397314161, -Inf]"
